screen_name,user_type,text,created_at,originator,replied_to
cyraywork69,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://bit.ly/eYfObJ,2011-01-15 13:23:26,true,n/a
LovelyLBoog,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://bit.ly/eYfObJ,2011-01-15 14:42:45,false,n/a
Marcia7663,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://bit.ly/eYfObJ,2011-01-15 14:54:39,false,n/a
joakimvol,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://bit.ly/eYfObJ,2011-01-15 14:03:01,false,n/a
Amie0751,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://bit.ly/eYfObJ,2011-01-15 15:17:44,false,n/a
Teisha454,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://bit.ly/eYfObJ,2011-01-15 13:29:37,false,n/a
BRADYCOMPANY,normal_user,RT @BoxAndSend: RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least... h ...,2011-01-15 13:19:24,false,BoxAndSend
manbear,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:29,false,BreakingNews
Mediocredave,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:32,false,BreakingNews
PatriotsPride01,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:34,false,BreakingNews
luis_honorio94,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:35,false,BreakingNews
Kokuyama,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:36,false,BreakingNews
Loupo85,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:41,false,BreakingNews
nlevine,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:43,false,BreakingNews
i_narcissus,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:49,false,BreakingNews
dolbbac,normal_user,어딜가나 충실한 개뼉다귀들이 RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2,2011-01-15 13:19:49,false,n/a
mobeatie,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:50,false,BreakingNews
nazrag,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:52,false,BreakingNews
lilliray,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:57,false,BreakingNews
billdinTO,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:20:02,false,BreakingNews
nightinparis1,normal_user,Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://bit.ly/eYfObJ,2011-01-15 13:20:02,false,n/a
fhxoxo,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:20:04,false,BreakingNews
iAllochtoon,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:20:14,false,BreakingNews
inpressulum,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed,2011-01-15 13:20:17,false,BreakingNews
theBClife,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:20:19,false,BreakingNews
BreakingNewsx,normal_user,Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://dlvr.it/DPPhG,2011-01-15 13:20:30,false,n/a
Recentvideo,normal_user,Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://goo.gl/fb/GULol,2011-01-15 13:20:43,false,n/a
Bodyguard2012,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:20:44,false,BreakingNews
Jewelreloaded,normal_user,RT @nightinparis1: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed h ...,2011-01-15 13:20:47,false,biladee
WilliamJCB,normal_user,Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://bit.ly/eYfObJ,2011-01-15 13:20:47,false,n/a
confusedcallum,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:23:31,false,BreakingNews
Hetpayne,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:23:50,false,BreakingNews
laurendane,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:24:00,false,BreakingNews
Leoa_854,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:24:05,false,BreakingNews
jihadm,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:24:11,false,BreakingNews
toraljose,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:24:29,false,BreakingNews
memelists,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:27:21,false,BreakingNews
MCinMN,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:27:27,false,BreakingNews
Urbangem,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:27:33,false,BreakingNews
ThePlclark9505,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:27:55,false,n/a
StonecoldMC,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:27:55,false,BreakingNews
BathAlex,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:28:48,false,BreakingNews
malariafighter,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:28:54,false,BreakingNews
FluffyRona,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:39:32,false,BreakingNews
